"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN","TOBS"
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-01-05",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-01-19",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-01-23",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-02-06",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-02-07",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-02-11",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-02-12",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-02-20",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-02-21",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-02-24",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-03-10",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-03-14",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-03-15",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-03-21",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-03-25",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-03-29",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-03-30",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-03-31",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-04-05",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-04-08",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-04-12",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-04-14",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-04-15",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-04-19",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-04-20",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-04-25",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-04-26",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-04-28",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-05-02",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-05-03",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-05-04",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-05-05",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-05-10",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-05-12",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-05-13",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-05-17",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-05-18",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-05-19",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-05-20",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-05-23",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-05-29",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-05-30",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-05-31",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-06-01",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-06-05",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-06-06",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-06-09",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-06-10",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-06-13",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-06-15",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-06-16",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-06-17",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-06-18",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-06-19",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-06-20",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-06-24",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-06-26",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-07-03",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-07-07",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-07-21",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-07-22",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-07-23",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-07-30",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-08-07",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-08-13",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-08-14",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-08-18",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-08-21",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-08-22",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-08-23",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-08-26",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-08-27",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-09-02",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-09-10",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-09-12",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-09-13",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-09-21",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-09-23",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-10-07",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-10-08",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-10-09",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-10-11",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-10-13",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-10-15",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-10-16",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-10-22",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-10-27",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-10-30",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-10-31",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-11-05",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-11-07",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-11-08",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-11-12",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-11-19",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-11-22",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-11-24",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-11-26",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-11-27",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-11-30",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-12-01",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-12-04",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-12-08",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-12-09",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-12-15",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-12-16",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-12-17",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-12-29",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2019-12-30",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-01-03",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-01-04",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-01-06",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-01-08",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-01-09",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-01-10",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-01-11",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-01-12",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-01-18",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-01-24",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-01-25",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-02-04",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-02-05",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-02-06",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-02-10",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-02-12",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-02-13",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-02-14",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-02-18",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-02-24",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-02-25",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-02-26",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-03-02",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-03-03",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-03-10",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-03-13",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-03-15",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-03-19",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-03-20",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-03-27",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-03-28",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-03-29",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-04-01",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-04-05",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-04-07",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-04-09",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-04-10",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-04-12",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-04-13",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-04-18",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-04-23",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-04-24",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-04-26",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-04-29",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-04-30",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-05-03",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-05-05",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-05-08",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-05-11",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-05-14",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-05-18",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-05-19",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-05-20",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-05-21",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-05-24",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-05-28",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-05-29",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-05-30",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-06-05",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-06-22",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-06-24",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-06-28",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-06-30",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-07-09",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-07-13",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-07-20",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-07-22",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-07-28",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-07-31",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-08-01",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-08-02",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-08-04",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-08-11",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-08-15",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-08-16",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-08-18",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-08-26",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-09-02",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-09-03",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-09-13",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-09-29",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-09-30",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-10-05",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-10-13",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-10-16",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-10-19",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-10-20",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-10-22",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-10-26",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-10-29",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-11-11",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-11-16",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-11-22",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-11-23",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-11-25",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-11-26",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-11-30",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-12-02",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-12-12",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-12-19",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-12-20",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-12-21",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2020-12-31",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-01-01",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-02-28",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-03-01",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-03-11",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-03-12",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-03-16",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-03-18",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-03-19",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-03-25",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-03-26",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-03-28",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-03-31",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-04-11",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-04-12",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-04-21",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-04-23",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-04-25",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-04-29",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-04-30",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-05-03",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-05-04",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-05-05",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-05-07",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-05-10",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-05-17",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-05-18",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-05-26",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-05-28",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-05-30",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-06-02",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-06-03",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-06-04",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-06-07",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-06-08",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-06-09",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-06-10",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-06-11",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-06-12",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-06-18",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-06-24",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-06-30",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-07-01",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-07-02",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-07-08",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-07-10",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-07-11",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-07-12",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-07-13",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-07-16",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-07-17",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-07-25",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-08-02",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-08-15",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-08-16",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-08-17",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-08-18",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-08-19",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-08-26",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-08-28",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-08-30",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-09-01",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-09-05",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-09-08",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-09-15",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-09-19",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-09-20",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-09-21",,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","2021-09-22",,,,,
