"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN","TOBS"
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-01-28",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-01-29",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-01-30",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-01-31",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-01",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-02",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-03",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-04",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-05",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-06",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-07",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-08",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-09",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-10",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-11",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-12",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-13",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-14",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-15",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-16",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-17",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-18",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-19",,,,,
