"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN"
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-04",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-05",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-06",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-07",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-08",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-09",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-10",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-11",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-12",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-13",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-14",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-15",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-16",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-17",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-18",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-19",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-20",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-21",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-22",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-23",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-24",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-25",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-26",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-27",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-28",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-29",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-09-30",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-01",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-02",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-03",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-04",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-05",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-06",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-07",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-08",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-09",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-10",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-11",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-12",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-13",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-14",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-15",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-16",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-17",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-18",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-19",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-20",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-21",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-22",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-23",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-24",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-25",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-26",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-27",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-28",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-29",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-30",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-10-31",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-11-01",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-11-02",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-11-03",,,,
"US1OHCY0048","HIGHLAND HILLS 0.8 W, OH US","2018-11-04",,,,
